"","id","score"
"pt__02130",2130,0.00140237545450109
"pt__00108",108,0.00139519872724804
"pt__00015",15,0.00139733005741458
"pt__00086",86,0.00140204691847912
"pt__00701",701,0.00140365493663796
"pt__00376",376,0.00140172344382492
"pt__00370",370,0.00140838127943066
"pt__00056",56,0.00139953348507592
"pt__00573",573,0.00139424112954899
"pt__00596",596,0.00139333818680438
"pt__00223",223,0.00138554203247552
"pt__00504",504,0.00138689914672958
"pt__02181",2181,0.00136879544208127
"pt__02704",2704,0.00136972225218572
"pt__00025",25,0.0013723967178673
"pt__00095",95,0.00135399527251231
"pt__03177",3177,0.00135813342671448
"pt__01919",1919,0.0013360526669577
"pt__02920",2920,0.0013356782644507
"pt__01110",1110,0.00130657685312378
"pt__03037",3037,0.00130978955770778
"pt__00026",26,0.00130596558765234
"pt__00463",463,0.00130976192540624
"pt__02489",2489,0.00130277362674289
"pt__02262",2262,0.00129990602682245
"pt__00180",180,0.00129987645285164
"pt__00727",727,0.00129868756884012
"pt__00018",18,0.00129602744275004
"pt__00051",51,0.00129660007332355
"pt__02096",2096,0.00129562140534724
"pt__00625",625,0.00129156932137552
"pt__00291",291,0.00127705379073417
"pt__00435",435,0.00126842341697559
"pt__02080",2080,0.00125929117721536
"pt__01993",1993,0.00126058961849735
"pt__01985",1985,0.00122983169007284
"pt__00257",257,0.00122755398527086
"pt__00060",60,0.00122848212163385
"pt__01711",1711,0.00122234636068056
"pt__01682",1682,0.00122774524535589
"pt__00003",3,0.00122085113830378
"pt__02143",2143,0.00122375815557747
"pt__00084",84,0.0012067328564343
"pt__00055",55,0.00120637420173869
"pt__00176",176,0.00120438136092638
"pt__00122",122,0.00120828034333103
"pt__00941",941,0.00119737964458084
"pt__00350",350,0.00120107595564838
"pt__00022",22,0.00119430956049711
"pt__01318",1318,0.00118350006980844
"pt__00555",555,0.0011844215538973
"pt__00178",178,0.00118056191515246
"pt__02676",2676,0.00118304898989395
"pt__00068",68,0.00117558429007473
"pt__00081",81,0.00118475277058493
"pt__00079",79,0.00117990852190591
"pt__03352",3352,0.00117123037889461
"pt__00262",262,0.00117545941797817
"pt__00203",203,0.00116267680762511
"pt__00238",238,0.00116320723181157
"pt__01436",1436,0.00116455156047584
"pt__00347",347,0.00115707951558945
"pt__03076",3076,0.00115575444098012
"pt__01911",1911,0.00114351805552691
"pt__00192",192,0.00114334643163001
"pt__00319",319,0.0011348793891493
"pt__00547",547,0.0011381830963739
"pt__00272",272,0.00113318163983519
"pt__00629",629,0.00112782741817988
"pt__00326",326,0.00112807408912521
"pt__03289",3289,0.00113086440156294
"pt__00273",273,0.00111683194501377
"pt__00073",73,0.00110967133747621
"pt__02173",2173,0.00110172154134797
"pt__01255",1255,0.00109882273386049
"pt__00755",755,0.00109505325525774
"pt__00125",125,0.00109662822060608
"pt__01017",1017,0.00109742720571105
"pt__00120",120,0.0010957991444544
"pt__00002",2,0.00110267553172314
"pt__00445",445,0.00109177459700943
"pt__00278",278,0.00108625571016333
"pt__01546",1546,0.00108630549908096
"pt__00186",186,0.001083402992863
"pt__00589",589,0.00108133143755538
"pt__00169",169,0.00107732877712112
"pt__01766",1766,0.00107522356642937
"pt__00287",287,0.00106385748903289
"pt__03110",3110,0.00106533434842961
"pt__03019",3019,0.00106380248911757
"pt__00472",472,0.00106476208118662
"pt__00335",335,0.00106549978600722
"pt__00241",241,0.00106700203291918
"pt__00441",441,0.0010679806595756
"pt__00359",359,0.00104926390787705
"pt__01039",1039,0.00104305481967177
"pt__01412",1412,0.00104786717212399
"pt__02663",2663,0.00104306119781309
"pt__00044",44,0.00104407273355328
"pt__00029",29,0.00104235373200942
"pt__00658",658,0.00104324277557581
"pt__03470",3470,0.00104169873657975
"pt__01979",1979,0.00104553931967026
"pt__00297",297,0.00104206965362966
"pt__02593",2593,0.00104365657016943
"pt__00061",61,0.00104303542485306
"pt__00460",460,0.00103253578617066
"pt__00071",71,0.00103559405267799
"pt__00049",49,0.00102747397107429
"pt__00023",23,0.00102211735422947
"pt__00968",968,0.00101630740816379
"pt__00668",668,0.00101210935510014
"pt__02454",2454,0.00100411189125304
"pt__03234",3234,0.00100317642265009
"pt__00890",890,0.00100303785638225
"pt__00128",128,0.000999011773303579
"pt__02713",2713,0.000999693701597293
"pt__01369",1369,0.00100196495931113
"pt__00381",381,0.000997733094810973
"pt__01572",1572,0.000999266621397592
"pt__03433",3433,0.000997448424660394
"pt__00007",7,0.00099913633204576
"pt__00620",620,0.000997638337616302
"pt__00004",4,0.000991200703585821
"pt__00019",19,0.000987744661052847
"pt__03418",3418,0.000970723119428312
"pt__03042",3042,0.000971368703483664
"pt__00321",321,0.000969832372688341
"pt__01237",1237,0.000973141248043327
"pt__00601",601,0.000966118857760298
"pt__00531",531,0.000965480653323275
"pt__02480",2480,0.000965739201352668
"pt__01825",1825,0.000961915671636691
"pt__00008",8,0.000963789096008842
"pt__01006",1006,0.000964413513025963
"pt__00598",598,0.000958832282116856
"pt__01011",1011,0.000962137717654959
"pt__00158",158,0.000957938601092868
"pt__00342",342,0.0009513922609654
"pt__00248",248,0.000950841354333615
"pt__01019",1019,0.0009512219043963
"pt__01966",1966,0.00095299775565014
"pt__00817",817,0.000948734329724301
"pt__01409",1409,0.000949440404505134
"pt__02782",2782,0.00094740644681909
"pt__02470",2470,0.000945818158996282
"pt__00012",12,0.000946027136353618
"pt__00486",486,0.000945110397550922
"pt__02537",2537,0.000942836399953679
"pt__02810",2810,0.000942758622264196
"pt__02577",2577,0.000942551707027092
"pt__00552",552,0.000936837002433771
"pt__00499",499,0.000937932490276558
"pt__00670",670,0.00093277152525036
"pt__00162",162,0.000933621708458947
"pt__02991",2991,0.000933075074204373
"pt__02668",2668,0.000927561128626121
"pt__00661",661,0.000926508268853602
"pt__01172",1172,0.000924941161265056
"pt__01695",1695,0.000915886010388915
"pt__00723",723,0.000912868031425505
"pt__00323",323,0.000909232661928235
"pt__00627",627,0.000906485097216751
"pt__00719",719,0.000906345464089048
"pt__01583",1583,0.000904134080394307
"pt__03267",3267,0.000905061231058134
"pt__01200",1200,0.000902371144859698
